strain	description	source	location	cluster	adk	ccpA	glpF	glpT	panC	pta	pycA	ST
AH816	B.c_group AH816	Human, periodontitis (1995)	Norway, Akershus	clusterIII	2	35	37	39	34	32	37	39
AH817	B.c_group AH817	Human, periodontitis (1995)	Norway, Akershus	clusterIII	10	14	13	14	12	13	13	3
AH818	B.c_group AH818	Human, periodontitis (1995)	Brazil, Curitiba	clusterIII	2	35	37	39	34	32	37	39
AH819	B.c_group AH819	Human, periodontitis (1995)	Norway, Oslo	clusterIII	10	35	13	14	12	34	13	40
AH820	B.c_group AH820	Human, periodontitis (1995)	Norway, Akershus	clusterIII	2	35	37	39	34	32	37	39
AH823	B.c_group AH823	Human, periodontitis (1996)	Norway, Oslo	clusterIII	10	35	13	14	12	34	13	40
AH824	B.c_group AH824	Human, periodontitis (1996)	Norway, Akershus	clusterIII	10	35	13	14	12	34	13	40
AH825	B.c_group AH825	Human, periodontitis (1996)	Norway, Akershus	clusterIII	10	35	13	14	12	34	13	40
AH826	B.c_group AH826	Human, periodontitis (1996)	Norway, Rogaland	clusterIII	10	35	13	14	12	34	13	40
AH827	B.c_group AH827	Human, periodontitis (1996)	Norway, Hedmark	clusterIII	10	35	13	14	12	34	13	40
AH828	B.c_group AH828	Human, periodontitis (1996)	Norway, Oslo	clusterIII	10	35	13	14	12	34	13	40
AH829	B.c_group AH829	Human, periodontitis (1996)	Norway, Akershus	clusterIII	10	35	13	14	12	34	13	40
AH831	B.c_group AH831	Human, periodontitis (1996)	Norway, Oslo	clusterIII	10	35	38	14	12	34	38	42
AH840	B.c_group AH840			clusterIII	10	14	13	36	12	13	13	43
AH889	B.c_group AH889	Human, blood	Norway	clusterIV	3	13	12	13	11	30	12	30
AH1123	B.c_group 9823 (AH1123)	Human	France	clusterIII	2	2	2	2	2	2	2	45
AH1127	B.c_group 9843 (AH1127)	Human	France	clusterIII	2	3	3	3	2	2	2	46
AH1129	B.c_group BC004 (AH1129)	Human, eye	USA, Oklahoma	clusterIV	3	4	4	4	3	3	3	47
AH1131	B.c_group BC029 (AH1131)	Human, eye	USA, Oklahoma	unclustered	4	5	5	5	4	4	4	48
AH1132	B.c_group BC030 (AH1132)	Human, eye	USA, Oklahoma	clusterIV	3	6	6	6	5	5	5	49
AH1135	B.c_group S8553 (AH1135)	Soil, clearing station mud (1997) [from the site of an anthrax outbreak]	France, Alps mountains	clusterIII	2	7	2	7	2	2	6	50
AH1247	B.c_group 97-79 (AH1247)	Soil (1997) [from the site of an anthrax outbreak]	France, Pyrenees mountains	clusterV	6	9	8	9	7	7	8	52
AH1270	B.c_group AH1270	Human, cervix; Reykjavik University Hospital (2000) [from the same hospital as isolates AH1271, AH1272, and AH1273]	Iceland, Reykjavik	clusterII	7	10	9	10	8	8	9	53
AH1293	B.c_group AH1293	Human, blood	Norway, Tromso	clusterIV	3	13	12	13	11	11	12	56
AH1294	B.c_group AH1294	Human, blood	Norway, Tromso	clusterIV	3	13	12	13	11	11	12	56
7700	B.anthracis Sterne 7700 (95-31)	[pXO1-/pXO2-]	Africa	clusterIII	24	36	35	18	32	32	33	1
ATCC14579	B.cereus type strain ATCC14579 (AH923, BGSC6A5, KB001, KCTC3624)	Other, Farm, cow-shed air (1916)	USA	clusterIV	3	13	12	13	11	12	12	33
ATCC35646	B.thuringiensis israelensis ATCC35646 (IMSNU12089, KB005, KCTC1509, HD522)	Other, sewage	Israel	clusterIV	17	39	0	23	36	35	23	-1
NVH0391/98	B.cytotoxicus type strain NVH0391-98 (KB007, CytK, DSM22905, CIP110041, NVH0391/98)	Food, Vegetable puree (1998) [diarrheal food poisoning outbreak, fatal]	France, Essone	clusterVII	48	40	39	41	37	36	39	117
E33L	B.cereus E33L (Zebra Killer)	Animal, Carcass of dead zebra (1996) [two complete genomes sequenced for this strain with identical MLST sequences]	Namibia, Etosha National Park	clusterIII	27	41	40	42	38	37	40	57
KBAB4	B.weihenstephanensis KBAB4	Soil, Forest soil (2000)	France, Versailles	clusterVI	22	20	26	19	23	6	31	118
G9241	B.cereus G9241 (2000031673, B06_002)	Human, sputum and blood (1994) [human pneumonia; carries pXO1 plasmid with anthrax virulence genes and produces a polysaccharide capsule; two complete genomes sequenced for this strain with identical MLST sequences]	USA, Louisiana	clusterIII	28	42	14	43	39	38	41	58
97-27	B.thuringiensis konkukian 97-27 (97/027, CEB97/27, CEB97/027)	Human, tissue necrosis (1995)	Yugoslavia, Bosnia-Herzegovina, Sarajevo	clusterIII	2	35	41	44	40	39	17	59
WestNA	B.anthracis Western North America USA6153 (A0071)	Animal, Bison [pXO1+/pXO2+]	Canada	clusterIII	24	36	35	18	32	32	33	1
Vollum	B.anthracis Vollum	[this strain is used in research studies and is found in the UK, Spain, and Zimbabwe; pXO1+/pXO2+; two complete genomes sequenced for this strain with identical MLST sequences; differences from isolate A0488 in adk and glpF sequences]		clusterIII	24	36	35	18	32	32	33	1
Sterne34F2	B.anthracis Sterne 34F2 (ASC245)	Animal, cattle (cow) (1937) [Animal vaccine strain; pXO1+/pXO2-]	South Africa	clusterIII	24	36	35	18	32	32	33	1
KrugerB	B.anthracis Kruger B	[pXO1+/pXO2+]	South Africa, Kruger National Park	clusterIII	24	36	42	18	32	32	33	60
Florida	B.anthracis Ames Florida (A2012)	Human [from bioterror mailing attacks in 2001; pXO1+/pXO2+]	USA, Florida	clusterIII	24	36	35	18	32	32	33	1
CNEVA	B.anthracis CNEVA 9066 (A0402, K1887)	Human [pXO1+/pXO2+]	France (Southern)	clusterIII	24	36	42	18	32	32	33	60
Australia94	B.anthracis Australia94 (K4834, A0039, 29/32)	Animal, cattle (Bovine) (1994) [pXO1+/pXO2+]	Australia, Victoria Province	clusterIII	24	36	35	18	32	32	33	1
AmesAnc	B.anthracis Ames Ancestor (A0581, A2084)	Animal, cattle (Cow) (1981) [this strain is the progenitor of all the Ames strains used as research tools in laboratories around the world; pXO1+/pXO2+]	USA, Texas, Sarita	clusterIII	24	36	35	18	32	32	33	1
A1055	B.anthracis A1055 (2000031021, GroupC)	[belongs to the divergent C branch; pXO1-/pXO2+]	USA, Louisiana	clusterIII	24	36	37	18	32	32	33	61
AH1124	B.c_group 9829 (AH1124)	Human	France	clusterIII	10	35	43	45	41	13	13	62
AH1125	B.c_group 9801 (AH1125)	Human	France	clusterII	29	43	44	46	42	40	42	63
AH1126	B.c_group 9842 (AH1126)	Human	France	clusterV	6	44	8	9	7	41	8	64
AH1130	B.c_group BC008 (AH1130)	Human, eye	USA, Oklahoma	clusterIV	30	4	16	47	3	3	8	65
AH1133	B.c_group BC031 (AH1133)	Human, eye	USA, Oklahoma	unclustered	31	45	45	48	43	42	43	66
AH1134	B.cereus BC006 (AH1134)	Human, eye [pediatric endophthalmitis case]	USA, Oklahoma	clusterIV	3	4	4	4	3	3	3	47
WSBC10201	B.weihenstephanensis WSBC10201 (AH1143)	Dairy products, pasteurized milk (1992) [from the same dairy as isolates WSBC10028, WSBC10029, WSBC10030, WSBC10031, WSBC10042, WSBC10204, WSBC10205, WSBC10206, WSBC10208, and WSBC10211]	Germany, Weihenstephan	clusterVI	32	46	23	19	23	18	31	68
AH1308	B.c_group AH1308	Human, faeces/stools	Germany, Karlsruhe	clusterV	6	9	8	9	7	7	8	52
AH1309	B.c_group AH1309	Human, faeces/stools	Germany, Karlsruhe	clusterV	6	9	8	49	7	7	8	69
AH1310	B.c_group AH1310	Human, faeces/stools	Germany, Karlsruhe	clusterV	6	9	8	9	7	7	3	70
AH1311	B.c_group AH1311	Other, probiotic	Germany, Karlsruhe	clusterV	6	9	8	9	7	7	8	52
AH1312	B.c_group AH1312	Human, blood	Germany, Karlsruhe	clusterV	6	9	8	9	7	7	8	52
BGSC4AB1	B.thuringiensis morrisoni AH1354 (BGSC4AB1)			clusterIII	33	35	46	44	40	32	44	71
BGSC4AY1	B.thuringiensis brasilensis AH1356 (BGSC4AY1, T39001)	Food, black pepper powder	Brazil	clusterIII	2	47	47	44	45	32	45	73
295171	B.c_group 295171	Human, blood	UK	clusterIV	34	11	1	23	36	35	46	75
295618	B.c_group 295618	Other, heroin	UK	clusterIV	34	11	1	23	36	35	46	75
AH338	B.mycoides AH338	Soil (1992)	Norway, Oslo	clusterV	6	9	8	9	47	43	8	76
AH535	B.c_group AH535	Soil, strawberry field (1993)	Norway, Moss	clusterVI	35	48	49	50	48	44	47	77
AH723	B.c_group AH723	Human, eye	Norway, Skien	clusterIII	37	3	3	3	2	2	2	81
AH725	B.c_group AH725	Human, eye	Norway, Skien	clusterIV	3	13	12	13	11	12	12	33
AH729	B.c_group AH729	Human, wound secret	Norway, Skien	clusterII	8	51	10	11	9	9	51	82
AH730	B.c_group AH730	Human, urine	Norway, Skien	clusterIII	38	52	50	52	50	46	14	83
AH814	B.c_group AH814	Human, periodontitis (1995)	Norway, Akershus	clusterIV	3	13	12	13	51	47	12	84
AH815	B.c_group AH815	Human, periodontitis (1995)	Norway, More og Romsdal	clusterIV	39	53	51	1	52	12	1	85
AH886	B.c_group AH886	Human, blood	Norway, Oslo	clusterIII	40	35	12	53	53	13	52	86
AH891	B.c_group AH891	Human, blood	Norway, Oslo	clusterIII	26	35	52	40	14	48	15	87
AH893	B.cereus AH893	Human, wound	Norway, Tromso	clusterIII	41	35	53	54	54	49	53	88
BtAlHakam	B.thuringiensis Al Hakam (BtAlHakam)	Other, suspected bioweapons facility	Iraq	clusterIII	2	3	3	3	2	32	17	89
B03_002	B.cereus B03_002	Animal, cattle (cow)	France	clusterV	6	9	8	9	7	7	8	52
B03_003	B.cereus B03_003	Animal, cattle (cow)	France	clusterV	6	9	8	9	7	7	8	52
B04_002	B.anthracis B04_002	Animal, dead sheep	Spain	clusterIII	24	36	35	18	46	32	33	90
B04_022	B.anthracis B04_022	Human (1996) [anthrax]	France, Poitiers	clusterIII	24	36	35	18	46	32	33	90
B04_025	B.anthracis B04_025	Animal, cattle (cow)	France	clusterIII	24	36	42	18	32	32	33	60
B05_004	B.cereus B05_004	Animal, parrot	France	clusterIV	3	13	12	13	11	50	12	91
B05_010	B.cereus B05_010	Human	France	clusterIII	10	14	13	14	12	13	13	3
B05_011	B.cereus B05_011	Human	France	clusterIII	11	54	54	55	50	38	14	92
B06_001	B.cereus B06_001	Human	Madagascar	clusterIII	10	14	55	36	12	13	13	93
B06_003	B.cereus B06_003	Human, blood	Norway	clusterIII	10	14	13	36	12	13	13	43
B06_004	B.cereus B06_004	Human	Norway	clusterIII	10	2	13	36	12	13	13	94
B06_005	B.cereus B06_005	Human, wound	France	clusterIV	34	11	1	23	36	35	46	75
B06_006	B.cereus B06_006	Human, blood	France	clusterII	7	55	56	56	55	51	54	95
B06_007	B.cereus B06_007	Human, cutaneous	Norway	clusterIII	10	14	13	36	12	13	13	43
B06_008	B.cereus B06_008	Human, blood	France	clusterIII	10	14	13	14	12	13	13	3
B06_009	B.cereus B06_009	Human, Cerebrospinal fluid	France	clusterIII	12	16	15	36	14	15	15	2
B06_010	B.cereus B06_010	Human, Cerebrospinal fluid	Tahiti, Papeete	clusterIV	3	56	56	13	11	52	55	96
B06_011	B.cereus B06_011	Human	France	clusterIV	3	4	57	57	56	53	56	97
B06_012	B.cereus B06_012	Human	France	clusterIV	3	57	56	13	11	54	12	98
B06_013	B.cereus B06_013	Human, blood	France	clusterII	8	51	10	11	9	9	10	99
B06_014	B.cereus B06_014	Human	France	clusterII	8	51	10	11	9	9	10	99
B06_015	B.cereus B06_015	Human, drainage tube	France	clusterV	6	58	58	9	57	7	8	100
B06_016	B.cereus B06_016	Other, Slaughterhouse floor	France	clusterII	3	59	10	25	24	40	57	101
B06_017	B.cereus B06_017	Human, blood	France	clusterV	42	9	8	9	7	7	8	102
B06_018	B.cereus B06_018	Human, peritoneal	France	clusterIII	10	14	13	14	12	13	13	3
B06_019	B.cereus B06_019	Human, wound	France	clusterIV	43	13	59	13	11	55	58	103
B06_020	B.cereus B06_020	Human, wound	France	clusterIII	2	35	3	39	58	56	59	104
B06_021	B.cereus B06_021	Human, blood	France	clusterII	7	10	9	10	8	8	9	53
B06_022	B.cereus B06_022	Human, blood	France	clusterII	7	10	9	10	8	8	9	53
B06_023	B.cereus B06_023	Human, wound	France	clusterV	6	9	8	9	7	7	8	52
B06_024	B.cereus B06_024	Human, blood	France	clusterIV	3	60	59	13	11	12	60	105
B06_025	B.cereus B06_025	Human, blood	Guyane	clusterIII	12	16	38	16	59	15	15	106
B06_026	B.cereus B06_026	Human, wound	France	unclustered	44	61	60	58	60	57	3	107
B06_027	B.cereus B06_027	Human, wound	France	clusterIII	2	62	61	59	46	32	37	108
B06_028	B.cereus B06_028	Human, blood	France	clusterII	2	49	62	60	61	58	61	109
B06_029	B.cereus B06_029	Human, blood	France	clusterIV	45	4	63	47	62	59	62	110
B06_030	B.cereus B06_030	Human, bronchic	France	clusterVI	46	63	64	61	63	60	63	111
B06_031	B.cereus B06_031	Human	Martinique	clusterIII	12	16	38	16	59	15	15	106
B06_032	B.cereus B06_032	Human	France	clusterIV	34	39	1	23	64	35	23	112
B06_033	B.cereus B06_033	Human, blood	France	clusterIV	3	64	6	38	65	55	5	113
B06_034	B.cereus B06_034	Human	France	clusterIV	3	65	63	62	66	16	3	114
B06_035	B.cereus B06_035	Human	France	clusterIV	13	4	56	33	3	61	64	115
B06_036	B.cereus B06_036	Human, blood	Tahiti, Papeete	clusterIV	3	13	12	13	11	30	12	30
B06_038	B.anthracis B06_038	Soil	Italy	clusterIII	24	36	35	18	32	32	33	1
B06_039	B.anthracis B06_039	Soil [from a site where a dead animal was buried 2 years before]	Italy	clusterIII	24	36	35	18	46	32	33	90
B06_040	B.anthracis B06_040	Soil	Italy	clusterIII	24	36	35	18	32	32	33	1
B06_041	B.cereus B06_041	Soil	Italy	clusterVI	47	20	65	63	23	18	65	116
03BB108	B.cereus 03BB108	Other, dust in workspace associated with clinical case (isolate 03BR1283) (2003) [two complete genomes sequenced for this strain with identical MLST sequences]	USA, Texas	clusterIII	2	7	66	3	2	32	2	119
B4264	B.cereus B4264 (2002734361)	Human, blood and pleural fluid (1969) [human fatal pneumonia]		clusterIV	3	6	-1	38	11	5	5	-2
TI	B.anthracis Tsiankovskii-I (TI)	[Soviet Union livestock vaccine strain; pXO1+/pXO2+]	USSR	clusterIII	24	36	35	18	32	32	33	1
G9842	B.cereus G9842	Human, faeces/stools (1996) [from the same food poisoning outbreak as isolates G9843 and G9844; human diarrhea]	USA, Nebraska	clusterIV	17	11	1	23	64	35	66	120
H3081.97	B.cereus H3081.97 (2002734506)	Food (1997) [emetic toxin/cereulide producer; from the same food poisoning outbreak as isolates H3074.97 and H3076.97; outbreak linked to rice]	USA, Texas	clusterIII	0	14	67	36	12	13	13	-3
INRAAF2	B.cytotoxicus INRA AF2	Food, potato puree (2003) [connected to a food poisoning case]	France	clusterVII	48	40	39	41	37	36	39	117
NVH0597/99	B.cereus NVH0597-99 (NVH0597/99)	Food, spice mix (1999) [strain believed to be the cause of a diarrheal food poisoning outbreak]	Norway	clusterIII	2	35	3	39	58	56	59	104
NVH0883/00	B.cytotoxicus NVH0883/00	Food, spices (2000)	Norway	clusterVII	48	40	39	41	67	62	39	121
ATCC11950	B.cereus W (ATCC11950)	Soil [carries the prophage W; W and its lytic variant, phage gamma, infect B.anthracis]		clusterIII	2	35	68	39	40	32	17	67
A0174	B.anthracis LSU174 (K1979, A0174, 74-412C-8)	Animal, cattle (bovine) (1974) [pXO1+/pXO2-]	Canada	clusterIII	24	36	0	18	32	32	33	-4
A0193	B.anthracis LSU193 (K1256, A0193, 96-10355)	Animal, cattle (cow) (1996) [pXO1+/pXO2+]	USA, South Dakota	clusterIII	0	36	0	18	32	32	33	-5
A0389	B.anthracis A0389 (K1938, 89)	[pXO1+/pXO2+]	Indonesia, Bekasi	clusterIII	24	36	0	18	32	32	33	-4
A0442	B.anthracis LSU442 (K6835, A0442, 28, K88)	Animal, Kudu (1975) [pXO1+/pXO2+]	South Africa, Kruger National Park	clusterIII	0	36	0	18	32	32	33	-5
A0465	B.anthracis LSU465 (K2762, A0465, RA3, 6445/RA3)	Animal, cattle (Cow), spleen (1997) [two complete genomes sequenced for this strain with identical MLST sequences; pXO1+/pXO2+]	France, Pyrenees mountains	clusterIII	24	36	42	18	32	32	33	60
A0488	B.anthracis type strain LSU488 (K4596, A0488, ATCC14578, Vollum)	Animal, cattle (cow) (1935) [pXO1+/pXO2+; differences from isolate Vollum in adk and glpF sequences]	UK, Oxfordshire	clusterIII	0	36	0	18	32	32	33	-5
Q1	B.cereus Q1	Other, deep-subsurface oil reservoir	China (Northeastern), Daqing oil field	clusterIII	10	35	13	14	12	34	13	40
ATCC4342	B.cereus ATCC4342 (AH226, AH821)	Dairy products, milk (1900) [sensitive to gamma phage infecting B.anthracis; three complete genomes sequenced for this strain with identical MLST sequences]	USA	clusterIII	11	15	14	15	13	63	14	4
BGSC4AJ1	B.thuringiensis monterrey BGSC4AJ1 (AH1355, GM33, T28001)	[produces a polyglutamate capsule resembling that of B.anthracis]	Mexico	clusterIII	2	35	46	39	44	32	45	72
BGSC4CC1	B.thuringiensis pulsiensis BGSC4CC1 (T65001, AH1357, NARC Bt17)	Soil, grain field	Pakistan	clusterIII	2	47	48	18	46	32	37	74
Bt407	B.thuringiensis 407 (Bt407, AH1031)	Other, Pasteur Institute [well studied isolate that has been cured of the plasmid that encodes the insecticidal crystal toxin; two complete genomes sequenced for this strain with identical MLST sequences]	France, Paris	clusterIV	1	67	1	1	1	1	1	44
03BB102	B.cereus 03BB102 (2002734580)	Human, blood (2003) [human fatal pneumonia; carries pXO1 plasmid with anthrax virulence genes]	USA, Texas	clusterIII	2	2	3	3	2	32	17	122
172560.W	B.cereus 172560.W	Human, burn wound (2003) [human wound infection]	UK, Scotland, Glasgow	clusterIV	3	68	63	47	62	16	3	123
F95/8201	B.cereus 95/8201 (F95/8201)	Human, endocarditis; Prince Charles Hospital (1995)	UK, Wales, Merthyr Tydfil	clusterIII	33	35	37	44	40	32	17	124
AH621	B.c_group AH621	Soil, heather soil (1994)	Norway, Singsas/Saetereng	clusterVI	5	20	19	20	18	18	19	9
ATCC10792	B.thuringiensis thuringiensis type strain ATCC10792 (IMSNU12088, DSM2046, WS2734, AH1083, HD735, CIP53.137, KCTC3452, KCTC1034)	Animal, Insect, Mediterranean flour moth/mill moth (Ephestia kuhniella/Anagasta kuehniella)	Israel	clusterIV	1	67	1	1	1	1	1	44
ATCC10876	B.cereus ATCC10876 (569, AH181, IMSNU13045, NRRLB-569, NCTC7464, KCTC1092)	Other, contaminated flask (1945) [well-studied strain used in many structural studies of the spore and exospore; two complete genomes sequenced for this strain with identical MLST sequences]		clusterIV	49	4	57	57	56	53	56	125
BDRD-Cer4	B.cereus BDRD-Cer4	Other, Biological Defense Research Directorate (BDRD)	USA, Maryland, Rockville	clusterIV	3	13	12	13	11	12	12	33
BDRD-ST196	B.cereus BDRD-ST196	Other, Biological Defense Research Directorate (BDRD)	USA, Maryland, Rockville	clusterVI	5	29	7	8	6	6	7	126
BDRD-ST24	B.cereus BDRD-ST24	Other, Biological Defense Research Directorate (BDRD)	USA, Maryland, Rockville	clusterIV	50	13	69	13	11	30	12	127
BDRD-ST26	B.cereus BDRD-ST26	Other, Biological Defense Research Directorate (BDRD)	USA, Maryland, Rockville	clusterIII	10	14	13	14	12	13	13	3
BGSC4BA1	B.thuringiensis pondicheriensis BGSC4BA1 (T20a001, B23)	Soil	India	clusterIII	33	35	46	44	40	32	44	71
BGSC4BD1	B.thuringiensis huazhongensis BGSC4BD1 (T40001, YBT-978)		China	clusterIV	3	69	59	64	69	65	67	129
BGSC4Y1	B.thuringiensis tochigiensis BGSC4Y1 (117-72, HD868, AH460)	Other, soil or litter of silkworm (Bombyx mori)	Japan	clusterIII	11	70	14	55	50	38	14	130
BGSC6E1	B.cereus BGSC6E1 (AH263, GP7)	[produces chitinase]		clusterIII	2	7	66	18	2	2	2	131
CDC684	B.anthracis CDC684 (NRRL3495, NRS234)	[originally labeled B.megaterium; shows significant attenuation of virulence; pXO1+/pXO2+]		clusterIII	24	36	35	18	32	32	33	1
DSM12442	B.pseudomycoides type strain DSM12442 (NRRLB-617, WS3118, KCTC3862)	Soil	Ghana or Sweden or USA	clusterI	52	71	70	65	70	66	68	132
ATCC6462	B.mycoides type strain DSM2048 (ATCC6462, WS2641, NRS273, NCTC12974, CIP103472, KCTC3453)	Soil	Korea (South), Seoul	clusterVI	53	20	27	66	23	25	19	133
F65185	B.cereus F65185 (2002734558)	Human, wound (2005) [from an open fracture; encapsulated isolate]	USA, New York	clusterIV	54	4	71	67	3	31	69	134
IBL200	B.thuringiensis IBL200	Human, healthy human hand (1985) [israelensis-like serovar; bears Photorhabdus/Yersinia-like toxin genes]	USA, Maryland	clusterIV	55	72	72	68	71	35	70	135
IBL4222	B.thuringiensis IBL4222	Animal, cat-s paw (1985) [israelensis-like serovar]	USA, Maryland	clusterIV	17	39	1	23	36	35	23	136
m1293	B.cereus m1293 (BPS-2)	Dairy products, cream cheese (1987)	Brazil	clusterIII	10	35	73	45	72	13	13	137
m1550	B.cereus m1550 (277/2)	Food, uncooked chicken (1987)	Brazil	clusterIV	3	6	6	69	5	67	5	138
R_3098/03	B.cereus R309803 (R_3098/03)	Human, blood (2003) [human septicaemia]	UK, England	unclustered	44	61	60	58	60	57	62	140
Rock1-15	B.cereus Rock1-15	Soil	USA, Maryland, Rockville	clusterIV	3	57	12	13	11	54	12	141
Rock1-3	B.cereus Rock1-3	Soil	USA, Maryland, Rockville	clusterV	6	9	8	9	7	7	8	52
Rock1-4	B.mycoides Rock1-4	Soil	USA, Maryland, Rockville	clusterI	56	73	75	65	74	69	71	142
Rock3-17	B.mycoides Rock3-17	Soil	USA, Maryland, Rockville	clusterI	56	73	76	65	74	69	71	143
Rock3-28	B.cereus Rock3-28	Soil	USA, Maryland, Rockville	clusterV	57	74	8	71	7	70	8	144
Rock3-29	B.cereus Rock3-29	Soil	USA, Maryland, Rockville	clusterV	6	9	8	9	7	7	8	52
Rock3-42	B.cereus Rock3-42	Soil	USA, Maryland, Rockville	clusterIII	2	62	77	44	75	71	17	145
Rock3-44	B.cereus Rock3-44	Soil	USA, Maryland, Rockville	clusterI	58	75	78	72	76	72	72	146
Rock4-18	B.cereus Rock4-18	Soil	USA, Maryland, Rockville	clusterV	6	9	79	9	77	7	8	147
Rock4-2	B.cereus Rock4-2	Soil	USA, Maryland, Rockville	clusterIV	13	4	56	33	78	31	73	148
T01001	B.thuringiensis thuringiensis T01001 (BGSC4A3, HD2, DSM6029)	Animal, Insect, Mediterranean flour moth/mill moth (Ephestia kuhniella/Anagasta kuehniella) (1958)	Canada	clusterIV	1	67	1	1	1	1	1	44
